primary,external,count
D78.1,Y64,10
D78.1,Y64.8,10
D78.1,Y65,10
D78.1,Y65.4,10
D78.1,Y65.8,10
D78.1,Y66,10
D78.1,Y69,10
D78.1,Y70,10
D78.1,Y70.0,10
D78.1,Y70.1,10
D78.1,Y70.2,10
D78.1,Y70.3,10
D78.1,Y70.8,10
D78.1,Y71,10
D78.1,Y71.0,10
D78.1,Y71.1,10
D78.1,Y71.2,10
D78.1,Y71.3,10
D78.1,Y71.8,10
D78.1,Y72,10
D78.1,Y72.0,10
D78.1,Y72.1,10
D78.1,Y72.2,10
D78.1,Y72.3,10
D78.1,Y72.8,10
D78.1,Y73,10
D78.1,Y73.0,10
D78.1,Y73.1,10
D78.1,Y73.2,10
D78.1,Y73.3,10
D78.1,Y73.8,10
D78.1,Y74,10
D78.1,Y74.0,10
D78.1,Y74.1,10
D78.1,Y74.2,10
D78.1,Y74.3,10
D78.1,Y74.8,10
D78.1,Y75,10
D78.1,Y75.0,10
D78.1,Y75.1,10
D78.1,Y75.2,10
D78.1,Y75.3,10
D78.1,Y75.8,10
D78.1,Y76.0,10
D78.1,Y76.1,10
D78.1,Y76.2,10
D78.1,Y76.3,10
D78.1,Y76.8,10
D78.1,Y77,10
D78.1,Y77.0,10
D78.1,Y77.1,10
D78.1,Y77.11,10
D78.1,Y77.19,10
D78.1,Y77.2,10
D78.1,Y77.3,10
D78.1,Y77.8,10
D78.1,Y78,10
D78.1,Y78.0,10
D78.1,Y78.1,10
D78.1,Y78.2,10
D78.1,Y78.3,10
D78.1,Y78.8,10
D78.1,Y79.0,10
D78.1,Y79.1,10
D78.1,Y79.2,10
D78.1,Y79.3,10
D78.1,Y79.8,10
D78.1,Y80,10
D78.1,Y80.0,10
D78.1,Y80.1,10
D78.1,Y80.2,10
D78.1,Y80.3,10
D78.1,Y80.8,10
D78.1,Y81,10
D78.1,Y81.0,10
D78.1,Y81.1,10
D78.1,Y81.2,10
D78.1,Y81.3,10
D78.1,Y81.8,10
D78.1,Y82,10
D78.1,Y82.8,10
D78.1,Y82.9,10
D78.11,Y64,10
D78.11,Y64.8,10
D78.11,Y65,10
D78.11,Y65.4,10
D78.11,Y65.8,10
D78.11,Y66,10
D78.11,Y69,10
D78.11,Y70,10
D78.11,Y70.0,10
D78.11,Y70.1,10
D78.11,Y70.2,10
D78.11,Y70.3,10
D78.11,Y70.8,10
D78.11,Y71,10
D78.11,Y71.0,10
D78.11,Y71.1,10
D78.11,Y71.2,10
D78.11,Y71.3,10
D78.11,Y71.8,10
D78.11,Y72,10
D78.11,Y72.0,10
