code,count
1AFK1,100
1AFK2,100
1AFK3,100
1AFK4,100
1AFK5,100
1AFK6,100
1AFKS,100
1AFKT,100
1AFKU,100
1AFKV,100
1AFKW,100
1AFKX,100
1AFL1,100
1AFL2,100
1AFL3,100
1AFL4,100
1AFL5,100
1AFL6,100
1AFLS,100
1AFLT,100
1AFLU,100
1AFLV,100
1AFLW,100
1AFLX,100
1AFM1,100
1AFM2,100
1AFM3,100
1AFM4,100
1AFM5,100
1AFM6,100
1AFMS,100
1AFMT,100
1AFMU,100
1AFMV,100
1AFMW,100
1AFMX,100
1AFN1,100
1AFN2,100
1AFN3,100
1AFN4,100
1AFN5,100
1AFN6,100
1AFNS,100
1AFNT,100
1AFNU,100
1AFNV,100
1AFNW,100
1AFNX,100
1AFP1,100
1AFP2,100
1AFP3,100
1AFP4,100
1AFP5,100
1AFP6,100
1AFPS,100
1AFPT,100
1AFPU,100
1AFPV,100
1AFPW,100
1AFPX,100
1AGK1,100
1AGK2,100
1AGK3,100
1AGK4,100
1AGK5,100
1AGK6,100
1AGKS,100
1AGKT,100
1AGKU,100
1AGKV,100
1AGKW,100
1AGKX,100
1AGL1,100
1AGL2,100
1AGL3,100
1AGL4,100
1AGL5,100
1AGL6,100
1AGLS,100
1AGLT,100
1AGLU,100
1AGLV,100
1AGLW,100
1AGLX,100
1AGM1,100
1AGM2,100
1AGM3,100
1AGM4,100
1AGM5,100
1AGM6,100
1AGMS,100
1AGMT,100
1AGMU,100
1AGMV,100
1AGMW,100
1AGMX,100
1AGN1,100
1AGN2,100
1AGN3,100
1AGN4,100
1AGN5,100
1AGN6,100
1AGNS,100
1AGNT,100
1AGNU,100
1AGNV,100
1AGNW,100
1AGNX,100
1AGP1,100
1AGP2,100
1AGP3,100
1AGP4,100
1AGP5,100
1AGP6,100
1AGPS,100
1AGPT,100
1AGPU,100
1AGPV,100
1AGPW,100
1AGPX,100
1AHK1,100
1AHK2,100
1AHK3,100
1AHK4,100
1AHK5,100
1AHK6,100
1AHKS,100
1AHKT,100
1AHKU,100
1AHKV,100
1AHKW,100
1AHKX,100
1AHL1,100
1AHL2,100
1AHL3,100
1AHL4,100
1AHL5,100
1AHL6,100
1AHLS,100
1AHLT,100
1AHLU,100
1AHLV,100
1AHLW,100
1AHLX,100
1AHM1,100
1AHM2,100
1AHM3,100
1AHM4,100
1AHM5,100
1AHM6,100
1AHMS,100
1AHMT,100
1AHMU,100
1AHMV,100
1AHMW,100
1AHMX,100
1AHN1,100
1AHN2,100
1AHN3,100
1AHN4,100
1AHN5,100
1AHN6,100
1AHNS,100
1AHNT,100
1AHNU,100
1AHNV,100
1AHNW,100
1AHNX,100
1AHP1,100
1AHP2,100
1AHP3,100
1AHP4,100
1AHP5,100
1AHP6,100
1AHPS,100
1AHPT,100
1AHPU,100
1AHPV,100
1AHPW,100
1AHPX,100
1BFK1,100
1BFK2,100
1BFK3,100
1BFK4,100
1BFK5,100
1BFK6,100
1BFKS,100
1BFKT,100
1BFKU,100
1BFKV,100
1BFKW,100
1BFKX,100
1BFL1,100
1BFL2,100
1BFL3,100
1BFL4,100
1BFL5,100
1BFL6,100
1BFLS,100
1BFLT,100
1BFLU,100
1BFLV,100
1BFLW,100
1BFLX,100
1BFM1,100
1BFM2,100
1BFM3,100
1BFM4,100
1BFM5,100
1BFM6,100
1BFMS,100
1BFMT,100
1BFMU,100
1BFMV,100
1BFMW,100
1BFMX,100
1BFN1,100
1BFN2,100
1BFN3,100
1BFN4,100
1BFN5,100
1BFN6,100
1BFNS,100
1BFNT,100
1BFNU,100
1BFNV,100
1BFNW,100
1BFNX,100
1BFP1,100
1BFP2,100
1BFP3,100
1BFP4,100
1BFP5,100
1BFP6,100
1BFPS,100
1BFPT,100
1BFPU,100
1BFPV,100
1BFPW,100
1BFPX,100
1BGK1,100
1BGK2,100
1BGK3,100
1BGK4,100
1BGK5,100
1BGK6,100
1BGKS,100
1BGKT,100
1BGKU,100
1BGKV,100
1BGKW,100
1BGKX,100
1BGL1,100
1BGL2,100
1BGL3,100
1BGL4,100
1BGL5,100
1BGL6,100
1BGLS,100
1BGLT,100
1BGLU,100
1BGLV,100
1BGLW,100
1BGLX,100
1BGM1,100
1BGM2,100
1BGM3,100
1BGM4,100
1BGM5,100
1BGM6,100
1BGMS,100
1BGMT,100
1BGMU,100
1BGMV,100
1BGMW,100
1BGMX,100
1BGN1,100
1BGN2,100
1BGN3,100
1BGN4,100
1BGN5,100
1BGN6,100
1BGNS,100
1BGNT,100
1BGNU,100
1BGNV,100
1BGNW,100
1BGNX,100
1BGP1,100
1BGP2,100
1BGP3,100
1BGP4,100
1BGP5,100
1BGP6,100
1BGPS,100
1BGPT,100
1BGPU,100
1BGPV,100
1BGPW,100
1BGPX,100
1BHK1,100
1BHK2,100
1BHK3,100
1BHK4,100
1BHK5,100
1BHK6,100
1BHKS,100
1BHKT,100
1BHKU,100
1BHKV,100
1BHKW,100
1BHKX,100
1BHL1,100
1BHL2,100
1BHL3,100
1BHL4,100
1BHL5,100
1BHL6,100
1BHLS,100
1BHLT,100
1BHLU,100
1BHLV,100
1BHLW,100
1BHLX,100
1BHM1,100
1BHM2,100
1BHM3,100
1BHM4,100
1BHM5,100
1BHM6,100
1BHMS,100
1BHMT,100
1BHMU,100
1BHMV,100
1BHMW,100
1BHMX,100
1BHN1,100
1BHN2,100
1BHN3,100
1BHN4,100
1BHN5,100
1BHN6,100
1BHNS,100
1BHNT,100
1BHNU,100
1BHNV,100
1BHNW,100
1BHNX,100
1BHP1,100
1BHP2,100
1BHP3,100
1BHP4,100
1BHP5,100
1BHP6,100
1BHPS,100
1BHPT,100
1BHPU,100
1BHPV,100
1BHPW,100
1BHPX,100
1CFK1,100
1CFK2,100
1CFK3,100
1CFK4,100
1CFK5,100
1CFK6,100
1CFKS,100
1CFKT,100
1CFKU,100
1CFKV,100
1CFKW,100
1CFKX,100
1CFL1,100
1CFL2,100
1CFL3,100
1CFL4,100
1CFL5,100
1CFL6,100
1CFLS,100
1CFLT,100
1CFLU,100
1CFLV,100
1CFLW,100
1CFLX,100
1CFM1,100
1CFM2,100
1CFM3,100
1CFM4,100
1CFM5,100
1CFM6,100
1CFMS,100
1CFMT,100
1CFMU,100
1CFMV,100
1CFMW,100
1CFMX,100
1CFN1,100
1CFN2,100
1CFN3,100
1CFN4,100
1CFN5,100
1CFN6,100
1CFNS,100
1CFNT,100
1CFNU,100
1CFNV,100
1CFNW,100
1CFNX,100
1CFP1,100
1CFP2,100
1CFP3,100
1CFP4,100
1CFP5,100
1CFP6,100
1CFPS,100
1CFPT,100
1CFPU,100
1CFPV,100
1CFPW,100
1CFPX,100
1CGK1,100
1CGK2,100
1CGK3,100
1CGK4,100
1CGK5,100
1CGK6,100
1CGKS,100
1CGKT,100
1CGKU,100
1CGKV,100
1CGKW,100
1CGKX,100
1CGL1,100
1CGL2,100
1CGL3,100
1CGL4,100
1CGL5,100
1CGL6,100
1CGLS,100
1CGLT,100
1CGLU,100
1CGLV,100
1CGLW,100
1CGLX,100
1CGM1,100
1CGM2,100
1CGM3,100
1CGM4,100
1CGM5,100
1CGM6,100
1CGMS,100
1CGMT,100
1CGMU,100
1CGMV,100
1CGMW,100
1CGMX,100
1CGN1,100
1CGN2,100
1CGN3,100
1CGN4,100
1CGN5,100
1CGN6,100
1CGNS,100
1CGNT,100
1CGNU,100
1CGNV,100
1CGNW,100
1CGNX,100
1CGP1,100
1CGP2,100
1CGP3,100
1CGP4,100
1CGP5,100
1CGP6,100
1CGPS,100
1CGPT,100
1CGPU,100
1CGPV,100
1CGPW,100
1CGPX,100
1CHK1,100
1CHK2,100
1CHK3,100
1CHK4,100
1CHK5,100
1CHK6,100
1CHKS,100
1CHKT,100
1CHKU,100
1CHKV,100
1CHKW,100
1CHKX,100
1CHL1,100
1CHL2,100
1CHL3,100
1CHL4,100
1CHL5,100
1CHL6,100
1CHLS,100
1CHLT,100
